80,-120
80,-200
-40,110
130,160
-200,-150
-180,40
-180,-140
10,0
110,10
-140,-120
240,150
-240,80
30,0
40,-120
60,-20
-150,150
240,-150
80,-130
-140,110
-250,170
240,160
170,-30
-140,40
-160,-200
-30,70
-240,180
-80,-130
-90,-10
-180,-60
110,-90
100,80
-240,-80
160,-80
60,-70
-60,-190
-220,-120
20,-50
100,-20
110,30
-130,160
-120,110
100,-200
180,0
170,-140
20,40
130,-200
20,160
-150,20
240,70
170,-10
-10,-30
-30,-10
-110,10
-20,-20
-150,-50
-20,-70
-80,-20
10,70
-180,-190
100,-150
-20,-140
-70,40
-80,-190
140,110
-120,110
70,-160
-170,40
-160,-190
110,100
-250,-20
-80,120
130,-70
0,20
-210,130
210,160
-200,-10
-30,-30
80,120
-170,-160
220,70
110,-200
-220,130
220,-190
-240,10
-150,-50
0,190
160,40
-160,80
-150,-180
10,0
90,-190
-170,60
-50,0
40,-50
-100,-200
-170,20
-230,30
-30,-130
-110,190
-140,100
